Site,Confidence,File,Date,Year,Month,Day,HH,MM
R101,0.129,0.129_1_R101_20241229_161400_57.00s_60.00s.wav,29/12/2024,2024,12,29,16,14
R303,0.129,0.129_1_R303_20241222_181200_9.00s_12.00s.wav,22/12/2024,2024,12,22,18,12
R601,0.129,0.129_1_R601_20241230_182000_51.00s_54.00s.wav,30/12/2024,2024,12,30,18,20
R205,0.128,0.128_1_R205_20241231_154800_45.00s_48.00s.wav,31/12/2024,2024,12,31,15,48
R154,0.127,0.127_1_R154_20241226_091200_36.00s_39.00s.wav,26/12/2024,2024,12,26,9,12
R405,0.126,0.126_1_R405_20241231_115600_3.00s_6.00s.wav,31/12/2024,2024,12,31,11,56
R503,0.124,0.124_1_R503_20240817_190200_42.0s_45.0s.wav,17/08/2024,2024,8,17,19,2
R305,0.124,0.124_1_R305_20250103_074600_6.00s_9.00s.wav,03/01/2025,2025,1,3,7,46
R511,0.123,0.123_1_R511_20241023_130600_18.0s_21.0s.wav,23/10/2024,2024,10,23,13,6
R205,0.123,0.123_1_R205_20250102_182400_39.00s_42.00s.wav,02/01/2025,2025,1,2,18,24
R502,0.121,0.121_1_R502_20240811_113200_9.0s_12.0s.wav,11/08/2024,2024,8,11,11,32
R301,0.12,0.120_1_R301_20240813_170200_33.0s_36.0s.wav,13/08/2024,2024,8,13,17,2
R101,0.12,0.120_1_R101_20241218_162800_42.00s_45.00s.wav,18/12/2024,2024,12,18,16,28
R602,0.119,0.119_1_R602_20241224_165800_15.00s_18.00s.wav,24/12/2024,2024,12,24,16,58
R512,0.118,0.118_2_R512_20250109_184200_3.00s_6.00s.wav,09/01/2025,2025,1,9,18,42
R305,0.116,0.116_2_R305_20241231_174000_27.00s_30.00s.wav,31/12/2024,2024,12,31,17,40
R303,0.115,0.115_2_R303_20241219_181400_12.00s_15.00s.wav,19/12/2024,2024,12,19,18,14
R602,0.114,0.114_1_R602_20241028_094400_24.0s_27.0s.wav,28/10/2024,2024,10,28,9,44
R303,0.114,0.114_1_R303_20241222_143600_3.00s_6.00s.wav,22/12/2024,2024,12,22,14,36
R103,0.113,0.113_1_R103_20240906_154200_15.00s_18.00s.wav,06/09/2024,2024,9,6,15,42
R303,0.113,0.113_1_R303_20241219_111800_54.00s_57.00s.wav,19/12/2024,2024,12,19,11,18
R515,0.111,0.111_1_R515_20241229_184600_33.0s_36.0s.wav,29/12/2024,2024,12,29,18,46
R503,0.111,0.111_1_R503_20240818_175600_33.0s_36.0s.wav,18/08/2024,2024,8,18,17,56
R451,0.111,0.111_1_R451_20240730_192000_39.0s_42.0s.wav,30/07/2024,2024,7,30,19,20
R503,0.111,0.111_3_R503_20250105_174600_18.00s_21.00s.wav,05/01/2025,2025,1,5,17,46
R303,0.11,0.110_1_R303_20250105_130000_36.00s_39.00s.wav,05/01/2025,2025,1,5,13,0
R205,0.11,0.110_1_R205_20250102_174800_0.00s_3.00s.wav,02/01/2025,2025,1,2,17,48
R512,0.11,0.110_2_R512_20250105_085200_18.00s_21.00s.wav,05/01/2025,2025,1,5,8,52
R502,0.109,0.109_1_R502_20241224_180800_45.00s_48.00s.wav,24/12/2024,2024,12,24,18,8
R418,0.108,0.108_1_R418_20240808_175000_42.0s_45.0s.wav,08/08/2024,2024,8,8,17,50
R205,0.106,0.106_2_R205_20241227_114200_36.00s_39.00s.wav,27/12/2024,2024,12,27,11,42
R503,0.104,0.104_1_R503_20250105_175000_30.00s_33.00s.wav,05/01/2025,2025,1,5,17,50
R602,0.103,0.103_1_R602_20241021_082600_15.0s_18.0s.wav,21/10/2024,2024,10,21,8,26
R511,0.103,0.103_2_R511_20241228_183400_57.00s_60.00s.wav,28/12/2024,2024,12,28,18,34
R515,0.102,0.102_1_R515_20241222_091600_3.0s_6.0s.wav,22/12/2024,2024,12,22,9,16
R512,0.101,0.101_1_R512_20250109_184200_6.00s_9.00s.wav,09/01/2025,2025,1,9,18,42
